ProductName,ProductCode,RegularPrice,HappyPrice,Discount,Link,ImageLink
Лаптоп ASUS Vivobook  X1504VA-BQ005 ( Silver ),Шифра: 59712,"29,999 Ден.","10,499 Ден.",-13%,https://setec.mk/index.php?route=product/product&product_id=61069,https://setec.mk/image/cache/catalog/Product/61069_0-220x220.jpg
Лаптоп ASUS X1504VA-BQ312 ( Quiet Blue),Шифра: 56725,"20,999 Ден.","10,499 Ден.",-13%,https://setec.mk/index.php?route=product/product&product_id=61069,https://setec.mk/image/cache/catalog/Product/61069_0-220x220.jpg
Лаптоп ACER Aspire 3 A315-44P-R8YE,Шифра: 61095,"25,999 Ден.","10,499 Ден.",-13%,https://setec.mk/index.php?route=product/product&product_id=61069,https://setec.mk/image/cache/catalog/Product/61069_0-220x220.jpg
Лаптоп ACER Aspire 3 A315-59-502V ( Silver ) -Процесор  Intel Core i5-1235U  (12M Cache,Шифра: 61099,"28,999 Ден.","10,499 Ден.",-13%,https://setec.mk/index.php?route=product/product&product_id=61069,https://setec.mk/image/cache/catalog/Product/61069_0-220x220.jpg
Лаптоп LENOVO  IdeaPad 3 15ABR8 ( GRAY ),Шифра: 55977,"32,999 Ден.","10,499 Ден.",-13%,https://setec.mk/index.php?route=product/product&product_id=61069,https://setec.mk/image/cache/catalog/Product/61069_0-220x220.jpg
Лаптоп LENOVO GAMING 3 15ACH6 (Black),Шифра: 59940,"40,999 Ден.","10,499 Ден.",-13%,https://setec.mk/index.php?route=product/product&product_id=61069,https://setec.mk/image/cache/catalog/Product/61069_0-220x220.jpg
Лаптоп ASUS Vivobook S Flip OLED TN3402YA-KN031W / TouchScreen   /  Win 11 (  Quiet Blue ),Шифра: 57789,"64,999 Ден.","10,499 Ден.",-13%,https://setec.mk/index.php?route=product/product&product_id=61069,https://setec.mk/image/cache/catalog/Product/61069_0-220x220.jpg
Лаптоп ASUS Vivobook S Flip TN3402YA-LZ392 / TouchScreen ( Cool Silver ),Шифра: 59164,"43,999 Ден.","10,499 Ден.",-13%,https://setec.mk/index.php?route=product/product&product_id=61069,https://setec.mk/image/cache/catalog/Product/61069_0-220x220.jpg
Лаптоп LENOVO GAMING LOQ 15ARP9 (Black),Шифра: 59749,"63,999 Ден.","10,499 Ден.",-13%,https://setec.mk/index.php?route=product/product&product_id=61069,https://setec.mk/image/cache/catalog/Product/61069_0-220x220.jpg
Лаптоп ACER Nitro 5 ANV15-51-52ZL -Процесор  Intel Corei5-13420H  (12M Cache,Шифра: 57800,"62,999 Ден.","10,499 Ден.",-13%,https://setec.mk/index.php?route=product/product&product_id=61069,https://setec.mk/image/cache/catalog/Product/61069_0-220x220.jpg
Лаптоп ASUS UX5304VA-OLED-NQ732X,Шифра: 56898,"71,999 Ден.","10,499 Ден.",-13%,https://setec.mk/index.php?route=product/product&product_id=61069,https://setec.mk/image/cache/catalog/Product/61069_0-220x220.jpg
Lenovo TAB M9 ( TB310FU ) + Lenovo Clear Case,Шифра: 59961,"7,999 Ден.","10,499 Ден.",-13%,https://setec.mk/index.php?route=product/product&product_id=61069,https://setec.mk/image/cache/catalog/Product/61069_0-220x220.jpg
"ST-T10 10"" (GRAY) Tablet WiFi",Шифра: 57080,"5,499 Ден.","10,499 Ден.",-13%,https://setec.mk/index.php?route=product/product&product_id=61069,https://setec.mk/image/cache/catalog/Product/61069_0-220x220.jpg
Конфигурација  INTEL GAMER VENOM,Шифра: 57780,"39,999 Ден.","10,499 Ден.",-13%,https://setec.mk/index.php?route=product/product&product_id=61069,https://setec.mk/image/cache/catalog/Product/61069_0-220x220.jpg
